"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197"
8,16,22,20,0,15,24,16,12,26,10,28,8,12,7,12,4,10,0,23,9,7,15,26,18,20,14,10,12,12,13,21,7,15,10,23,4,6,6,21,26,9,28,6,6,6,6,13,23,14,10,10,19,18,29,15,14,18,0,14,18,15,13,10,11,26,23,6,11,7,13,18,13,8,18,21,11,7,16,10,18,18,13,13,18,17,15,13,11,21,23,13,28,12,17,15,18,13,16,17,27,16,8,13,15,19,25,12,14,9,14,19,19,20,0,18,16,15,12,21,16,10,15,15,12,18,13,0,15,16,15,15,16,12,15,20,15,14,10,21,12,17,16,12,25,28,15,14,17,14,17,15,12,16,13,15,21,14,23,10,11,9,8,10,12,13,17,14,14,7,11,14,12,17,17,19,12,16,17,10,15,16,13,11,0,0,0,0,0,6,12,11,11,10,11,14,7
22,24,20,28,33,36,18,20,28,15,20,20,15,22,20,11,32,12,9,0,10,22,10,15,12,20,25,20,17,21,9,10,16,12,13,15,12,10,8,15,15,10,13,10,0,10,22,35,18,28,22,15,30,20,20,42,20,11,10,37,25,15,21,15,25,15,25,15,15,25,15,20,17,20,20,25,22,12,15,15,15,15,18,14,20,15,23,17,30,15,31,25,22,20,17,10,20,20,21,20,25,22,14,15,24,10,22,25,30,10,22,26,15,22,14,18,20,18,15,9,22,15,25,16,20,16,18,12,23,15,25,15,12,19,20,0,0,16,14,34,25,13,14,12,12,11,11,15,11,24,23,19,18,13,7,8,12,15,14,18,11,11,13,12,23,6,18,9,14,10,15,10,7,8,14,13,14,7,4,14,10,21,5,13,21,13,21,10,12,11,7,7,9,8,9,9,13
0,0,0,0,0,0,9,6,4,12,10,4,5,3,4,10,9,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,3,6,15,10,10,3,10,6,3,6,9,15,15,10,6,3,10,6,10,45,10,15,0,36,15,10,15,0,0,0,10,1,10,10,15,6,10,3,10,6,3,10,1,6,0,10,6,3,3,0,0,0,0,0,6,1,10,3,3,1,1,15,1,3,6,3,0,1,6,1,3,3,3,1,35,3,1,3,5,15,10,6,6,6,0,0,0,0,0,0,0,0,6,6,10,6,3,6,6,3,1,6,6,3,10,3,10,3,6,6,15,6,15,10,15,6,3,15,10,10,6,3,6,6,21,3,0,0,0,0,0,0,0,0,0,3,6,15,6,6,10,15,10,21,10,6,15,36,39,28,21,15,10,6,10,6,10,3,15,6,15
36,13,43,24,28,19,0,12,21,28,54,15,9,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,7,0,17,12,6,6,15,0,0,0,0,0,0,0,0,0,0,11,9,7,7,13,5,10,10,0,0,0,0,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,1,3,3,2,4,4,3,2,3,1,3,3,2,3,0,4,0,3,1,2,2,2,3,4,6,2,3,3,7,5,5,3,0,3,3,2,3,2,5,5,5,4,0,0,5,3,0,0,3,4,0,5,0,0,0,3,4,2,4,4,4,2,5,3,3,4,2,3,4,2,3,4,3,4,3,2,4,3,3,3,0,0,5,3,4,3,3,5,4,7,5,5,3,3,6,6,5,4,3,4,6
12,11,0,9,14,3,3,5,6,10,5,7,0,8,4,3,6,4,6,3,3,3,66,8,13,4,5,5,5,5,21,8,2,12,4,3,23,0,0,0,0,0,0,0,6,3,2,5,9,25,6,3,13,3,3,14,6,NA,NA,10,5,25,13,17,7,7,28,8,0,0,5,0,5,0,9,3,1,15,5,5,4,1,5,5,6,0,23,6,0,17,0,3,3,0,9,2,3,4,1,4,3,2,3,5,10,3,3,0,5,0,0,0,4,0,3,0,5,0,12,0,3,0,7,0,0,0,0,0,0,13,0,3,11,0,3,0,3,0,6,5,2,0,7,7,4,0,4,4,27,30,5,0,27,11,3,2,0,4,0,4,0,25,2,0,4,9,3,0,3,0,3,3,4,0,3,0,3,0,0,4,2,0,0,0,0,30,8,5,3,7,13,0,8,7,3,5,5
10,7,7,10,17,13,21,17,5,20,14,10,11,11,10,22,17,12,11,10,15,8,15,22,17,11,13,21,16,12,14,15,8,0,14,14,8,6,10,11,11,17,14,11,14,7,8,10,10,13,11,16,7,13,14,10,11,13,12,13,15,15,13,14,14,22,16,10,6,0,7,6,12,10,6,6,7,8,11,14,10,8,9,9,13,10,10,6,11,8,11,15,13,7,9,7,10,8,7,19,13,10,9,9,8,10,8,8,6,10,9,12,6,0,0,0,0,0,0,11,8,11,8,10,6,10,6,7,8,9,8,4,7,8,8,5,7,7,5,5,6,8,7,7,7,8,6,6,8,6,8,5,5,6,7,5,9,10,7,5,7,7,9,8,8,8,9,6,10,14,10,8,9,7,10,8,5,8,7,6,9,0,0,0,0,8,7,10,9,12,7,8,5,6,4,6,5
0,0,0,0,0,0,0,0,0,0,0,10,9,10,8,17,17,14,16,7,0,10,11,15,14,15,17,10,3,12,8,9,15,12,10,11,10,13,17,24,15,13,13,9,12,13,12,25,20,27,18,30,24,23,28,20,26,17,13,18,31,29,26,23,32,31,26,22,29,23,27,21,11,16,16,19,42,27,14,25,13,15,22,17,14,22,28,23,31,21,33,24,25,29,14,15,15,18,15,15,13,19,9,14,15,14,13,3,9,15,0,0,0,0,0,0,0,15,9,13,19,15,10,14,13,11,13,3,9,9,16,9,9,13,0,0,0,0,16,9,9,16,12,9,16,13,17,0,13,25,18,18,19,16,19,17,25,18,18,15,26,31,31,8,13,12,0,10,22,10,6,4,24,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,17,13,14,12
0,0,26,21,43,17,25,19,28,26,0,0,0,0,24,12,13,11,12,19,10,20,43,31,21,16,26,23,14,11,16,22,9,17,14,15,0,0,0,0,0,0,0,0,0,35,15,14,13,14,16,13,13,26,24,12,20,28,27,11,13,32,20,12,26,14,18,31,26,10,17,17,22,20,0,0,22,18,20,21,18,27,15,23,16,19,21,27,0,13,14,17,20,20,24,15,20,26,15,18,22,15,20,10,0,0,23,22,20,14,32,17,24,25,17,14,16,19,18,14,17,24,18,20,18,33,20,23,21,22,30,17,26,41,20,25,24,30,18,30,21,26,22,28,18,14,37,32,30,29,21,22,25,23,27,25,20,26,41,30,42,25,22,27,35,23,23,30,19,16,25,24,29,42,20,44,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19,15,22,25,13,17,18,16,14,19,15,15,18,14,34,18,20,20,29,35,32,27,21,16,31,12,70,16,14,17,21,17,20,28,13,7,10,19,26,12,10,10,10,12,25,34,13,14,19,15,16,14,17,13,13,13,14,9,21,30,17,13,15,13,11,12,24,15,17,13,15,8,7,9,11,11,9,8,8,8,7,8,9,8,9,9,8,13,13,11,11,8,13,12,15,11,18,13,13,8,10,9,9,32,22,13,15,11,31,12,13,34,26,31,31,25,24,27,33,16,19,16,26,41,13,14,20,19,8,18,16,15,9,5,7,8,7,27,8,8,5,7,6,6,7,10,8,11,9,9,14,11,12,8,7,10,10,9,9,7,15,14,13,10,9,7,8,7,14,14,5,9,8,11,12,9,13,12,11,15,10,10,13,13,12,13,11,11,21,13,9,18,8,11,8,14
15,10,16,17,20,24,22,18,14,22,27,0,13,18,0,0,0,0,0,0,29,9,6,0,0,0,0,0,0,0,0,5,0,20,26,5,22,15,15,0,0,0,0,0,0,23,25,29,12,13,26,16,19,21,30,28,17,18,18,19,7,9,5,5,11,16,0,20,9,27,28,58,59,55,30,27,34,43,52,59,140,78,23,52,121,85,46,64,2,0,0,0,4,4,7,13,5,27,17,15,10,5,2,12,9,11,13,7,15,11,16,17,18,17,16,31,8,18,9,6,13,10,6,10,7,8,7,8,13,52,44,62,9,16,13,19,7,5,8,4,25,19,17,9,24,8,24,6,6,6,11,9,9,10,14,9,10,9,11,11,17,12,11,14,10,16,8,8,5,5,6,6,15,3,0,84,28,50,4,4,3,5,6,5,6,3,6,6,6,4,6,4,6,8,12,4,5
